"No.","Ticker","Market Cap","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Average Volume","Price","Change","Volume"
5172,"RBL",,,,,,,,,,10.87,20.90,-1.28%,19438
5173,"RBPAA",42.60,24.34,17.47,3.30%,366.39%,21.60%,52.11%,0.14%,0.40,62.82,1.78,1.71%,74539
5174,"RBS",63503.47,5746.92,1197.17,,,0.50%,0.51%,0.09%,1.06,970.82,11.39,3.08%,285656
5175,"RBY",427.20,368.28,367.75,3.70%,,38.50%,12.43%,0.46%,2.21,774.37,1.16,0.00%,771340
5176,"RCAP",1232.95,65.27,44.81,29.20%,-37.80%,40.70%,2.11%,5.75%,4.42,582.73,18.85,-0.21%,355008
5177,"RCD",,,,,,,,,,20.32,78.26,1.44%,5368
5178,"RCG",5.90,4.47,4.10,0.10%,-18.28%,7.80%,,0.21%,0.94,9.06,1.31,-0.76%,7300
5179,"RCI",19411.20,517.77,510.11,,,79.00%,-0.24%,1.95%,37.62,264.58,38.73,3.31%,474772
5180,"RCII",1668.47,52.85,51.42,0.10%,-30.32%,,-0.25%,14.28%,9.91,741.06,31.65,0.25%,1272045
5181,"RCKY",103.75,7.54,6.84,3.10%,6.37%,45.00%,-2.08%,0.35%,1.69,14.15,13.88,0.87%,17126
5182,"RCL",12829.51,222.31,166.22,0.80%,-2.63%,59.30%,-1.25%,3.15%,2.51,2083.00,61.23,6.10%,5508016
5183,"RCMT",93.11,12.60,9.79,0.40%,5.49%,41.90%,-0.06%,0.18%,1.36,13.07,7.43,0.51%,8382
5184,"RCON",23.70,4.73,2.60,52.46%,,0.60%,,3.34%,1.11,78.29,5.14,2.59%,140832
5185,"RCPI",58.28,182.13,156.56,0.10%,,22.00%,-0.09%,10.66%,18.88,883.82,0.30,-6.25%,654597
5186,"RCPT",1754.38,27.28,25.65,0.60%,-94.02%,,,6.65%,3.62,470.70,66.29,3.08%,477598
5187,"RCS",,,,,,,,,0.26,145.45,9.88,1.54%,175789
5188,"RDC",2796.49,124.51,123.87,0.70%,33.36%,89.90%,3.55%,7.57%,3.43,2733.60,23.18,3.21%,2185998
5189,"RDCM",47.01,8.12,4.79,32.59%,,5.30%,,0.25%,0.94,12.48,6.01,3.73%,5600
5190,"RDEN",505.28,29.81,25.82,7.80%,24.73%,86.60%,-0.50%,9.70%,4.30,582.07,17.27,1.89%,367562
5191,"RDI",207.13,23.89,16.92,7.60%,-0.90%,24.80%,0.47%,2.54%,9.52,45.16,8.94,3.11%,47819
5192,"RDIV",,,,,,,,,,8.69,28.33,1.36%,11031
5193,"RDN",2945.99,191.05,189.69,0.30%,,91.00%,4.17%,22.81%,15.58,2778.37,15.51,0.58%,3333439
5194,"RDNT",361.93,42.68,28.05,7.60%,6.85%,41.90%,0.48%,5.81%,3.40,479.21,8.49,0.12%,594490
5195,"RDS-A",224086.99,3260.87,3116.28,,,13.20%,-0.10%,0.11%,1.87,1904.97,68.32,-0.58%,5243650
5196,"RDS-B",228652.09,3170.00,3040.00,,,,,0.10%,4.34,702.89,71.51,-0.86%,897719
5197,"RDUS",540.38,29.74,20.83,14.30%,,49.90%,,0.87%,1.75,103.64,18.71,2.97%,55909
5198,"RDVY",,,,,,,,,0.46,2.86,20.30,0.89%,2030
5199,"RDWR",731.22,44.37,38.20,24.81%,,72.10%,-0.03%,0.49%,1.08,172.34,16.39,-0.55%,59586
5200,"RDY",8104.80,165.98,121.76,,,16.90%,-0.30%,2.45%,12.01,248.68,48.84,0.02%,169613
5201,"RE",7279.75,45.47,35.12,1.20%,-14.56%,95.10%,-0.01%,4.64%,4.99,326.50,161.15,0.66%,264803
5202,"RECN",545.69,38.08,36.54,3.69%,-1.06%,88.10%,-0.05%,2.09%,5.14,148.70,14.39,0.42%,109671
5203,"REDF",58.19,27.58,27.31,13.74%,,1.40%,,1.29%,2.77,127.08,2.08,-1.42%,40636
5204,"REE",29.10,47.71,46.16,6.13%,-1.28%,0.60%,,1.86%,4.21,203.79,0.64,5.25%,150859
