"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
907,"CALD","Callidus Software Inc.","Technology","Business Software & Services","USA",577.32,,12.45,3.75%,411362
908,"CALI","China Auto Logistic Inc.","Services","Auto Dealerships","China",5.37,,1.84,39.39%,310816
909,"CALL","magicJack VocalTec Ltd.","Technology","Telecom Services - Domestic","Israel",153.69,2.53,9.17,6.38%,446554
910,"CALM","Cal-Maine Foods, Inc.","Consumer Goods","Food - Major Diversified","USA",2030.02,15.83,79.58,-5.17%,383498
911,"CALX","Calix Inc.","Technology","Communication Equipment","USA",457.68,,8.98,-0.11%,336624
912,"CAM","Cameron International Corporation","Basic Materials","Oil & Gas Equipment & Services","USA",11449.65,17.20,57.57,2.02%,5806615
913,"CAMP","CalAmp Corp.","Technology","Wireless Communications","USA",631.34,48.47,17.90,2.58%,604513
914,"CAMT","Camtek Ltd.","Technology","Semiconductor Equipment & Materials","Israel",106.41,33.40,3.45,3.30%,110904
915,"CANE","Teucrium Sugar ETF","Financial","Exchange Traded Fund","USA",,,13.20,-1.12%,1041
916,"CANF","Can-Fite BioPharma Ltd.","Healthcare","Biotechnology","Israel",28.14,,3.18,0.00%,0
917,"CAP","CAI International Inc.","Services","Rental & Leasing Services","USA",420.50,7.66,19.37,-2.71%,187532
918,"CAPL","Lehigh Gas Partners LP","Basic Materials","Oil & Gas Refining & Marketing","USA",496.85,43.80,33.23,2.53%,55154
919,"CAR","Avis Budget Group, Inc.","Services","Rental & Leasing Services","USA",5202.00,48.08,51.32,2.64%,4078920
920,"CARA","Cara Therapeutics Inc.","Healthcare","Biotechnology","USA",189.50,,8.35,-0.24%,80580
921,"CARB","Carbonite, Inc.","Technology","Business Software & Services","USA",280.36,,10.59,1.53%,30664
922,"CARO","Carolina Financial Corporation","Financial","Regional - Mid-Atlantic Banks","USA",101.00,9.30,26.03,0.00%,0
923,"CART","Carolina Trust Bank","Financial","Regional - Mid-Atlantic Banks","USA",23.61,25.50,5.03,-1.37%,4488
924,"CARZ","First Trust NASDAQ Global Auto ETF","Financial","Exchange Traded Fund","USA",,,35.06,-0.28%,8085
925,"CAS","A. M. Castle & Co.","Industrial Goods","Metal Fabrication","USA",151.28,,6.66,3.42%,338629
926,"CASH","Meta Financial Group, Inc.","Financial","Savings & Loans","USA",229.96,14.46,37.20,0.13%,21961
927,"CASI","CASI Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",55.20,,1.70,0.00%,6699
928,"CASM","CAS Medical Systems Inc.","Healthcare","Medical Instruments & Supplies","USA",34.48,,1.72,-2.82%,8000
929,"CASS","Cass Information Systems, Inc.","Services","Business Services","USA",526.11,22.80,44.20,-3.05%,42185
930,"CASY","Casey's General Stores, Inc.","Services","Grocery Stores","USA",3015.09,23.15,78.66,0.83%,320071
931,"CAT","Caterpillar Inc.","Industrial Goods","Farm & Construction Machinery","USA",58132.63,15.43,93.24,0.70%,7371553
932,"CATM","Cardtronics Inc.","Services","Business Services","USA",1558.67,70.10,35.43,1.08%,291464
933,"CATO","The Cato Corporation","Services","Apparel Stores","USA",971.34,18.03,35.18,1.12%,200920
934,"CATY","Cathay General Bancorp","Financial","Regional - Pacific Banks","USA",1915.27,14.93,24.49,1.87%,500496
935,"CAVM","Cavium, Inc.","Technology","Semiconductor - Broad Line","USA",2311.66,,43.09,-0.07%,1364810
936,"CAW","CCA Industries Inc.","Consumer Goods","Personal Products","USA",23.45,,3.36,0.30%,3585
937,"CB","The Chubb Corporation","Financial","Property & Casualty Insurance","USA",22109.73,11.25,91.41,-0.58%,978256
938,"CBAK","China BAK Battery, Inc.","Technology","Diversified Electronics","China",38.59,,3.25,6.21%,42920
939,"CBAN","Colony Bankcorp Inc.","Financial","Regional - Mid-Atlantic Banks","USA",56.80,14.02,6.60,-1.93%,1798
940,"CBB","Cincinnati Bell Inc.","Technology","Telecom Services - Domestic","USA",700.52,7.61,3.38,0.90%,637165
941,"CBD","Companhia Brasileira de Distribuicao","Services","Grocery Stores","Brazil",11332.04,21.53,41.84,-2.33%,559079
942,"CBDE","CBD Energy Limited","Technology","Semiconductor - Specialized","Australia",7.88,,1.70,1.80%,45166
943,"CBF","Capital Bank Financial Corp.","Financial","Regional - Southeast Banks","USA",1144.03,25.43,23.22,-0.79%,225837
944,"CBG","CBRE Group, Inc.","Financial","Property Management","USA",9425.57,26.77,28.61,0.81%,1920641
945,"CBI","Chicago Bridge & Iron Company N.V.","Industrial Goods","General Contractors","Netherlands",4972.41,9.19,46.61,1.41%,2770035
946,"CBIN","Community Bank Shares of Indiana Inc.","Financial","Regional - Midwest Banks","USA",91.16,11.32,26.55,0.19%,368
947,"CBK","Christopher & Banks Corporation","Services","Apparel Stores","USA",246.79,17.61,6.80,1.64%,294886
948,"CBL","CBL & Associates Properties Inc.","Financial","REIT - Retail","USA",2959.29,29.46,17.65,1.55%,1080702
949,"CBLI","Cleveland BioLabs, Inc.","Healthcare","Biotechnology","USA",21.70,,0.40,5.26%,81277
950,"CBM","Cambrex Corporation.","Healthcare","Biotechnology","USA",518.80,14.33,17.93,6.03%,342835
951,"CBMG","Cellular Biomedicine Group Inc.","Healthcare","Biotechnology","USA",143.46,,16.38,3.67%,2861
952,"CBMX","CombiMatrix Corporation","Healthcare","Medical Laboratories & Research","USA",14.71,,1.48,11.28%,1233361
953,"CBND","SPDR Barclays Issuer Scored Corp Bd ETF","Financial","Exchange Traded Fund","USA",,,33.01,0.49%,6492
954,"CBNJ","Cape Bancorp, Inc.","Financial","Regional - Northeast Banks","USA",104.38,15.69,9.14,0.44%,4571
955,"CBNK","Chicopee Bancorp, Inc.","Financial","Savings & Loans","USA",75.86,,14.00,-0.71%,19517
956,"CBOE","CBOE Holdings, Inc.","Financial","Diversified Investments","USA",4810.10,27.54,55.56,-1.58%,1072417
957,"CBPO","China Biologic Products, Inc.","Healthcare","Biotechnology","China",1229.63,21.56,50.80,1.13%,17910
958,"CBPX","Continental Building Products, Inc.","Industrial Goods","General Building Materials","USA",600.23,42.56,13.94,2.35%,98608
959,"CBR","Ciber, Inc.","Technology","Information Technology Services","USA",256.72,,3.40,3.34%,184228
960,"CBRL","Cracker Barrel Old Country Store, Inc.","Services","Restaurants","USA",2550.13,19.36,107.27,0.53%,210914
961,"CBRX","Columbia Laboratories Inc.","Healthcare","Drug Delivery","USA",60.64,28.15,5.73,1.78%,20132
962,"CBS","CBS Corporation","Services","Entertainment - Diversified","USA",26744.24,16.80,51.18,0.85%,8405821
